niveau	ID	Wetenschappelijke naam	Naam	Euring	Species id	Familie	Soortgroep	Soortstatus	Datum	Tijd	invoerdatum	timestamp	type waarneming	Aantal	min	max	Geslacht	telmethode	Kleed	Gedrag	X	Y	lat	Lng	Biotoop	Gebied	Gemeente	Provincie	Zeker	escape	link	precisie	loc_methode	protocol	status	Foto's	Collectienr.	Waardplant	substraat	Methode	Toelichting	Locatie	Tags	Transecten
+	180075176	Theba pisana	Zandslak	0	20066	Helicidae (Tuinslakken e.a.)	molluscs	Native	9/09/2019	12:02	24/09/2019	51:12.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,78089	43,46482	43,4648208618164	-3,78088545799255	 onbekend	Spain - Santander	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075176	25	110	1	O	1		-	-	onbekend				0
+	180075178	Cepaea nemoralis	Zwartgerande tuinslak	0	7720	Helicidae (Tuinslakken e.a.)	molluscs	Native	9/09/2019	12:02	24/09/2019	51:12.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,78089	43,46482	43,4648208618164	-3,78088545799255	 onbekend	Spain - Santander	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075178	25	110	1	O	0		-	-	onbekend				0
+	180075179	Pomatias elegans	Geruite rondmondhoren	0	20036	Pomatiidae	molluscs	Native	9/09/2019	12:02	24/09/2019	51:12.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,78089	43,46482	43,4648208618164	-3,78088545799255	 onbekend	Spain - Santander	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075179	25	110	1	O	0		-	-	onbekend				0
+	180075180	Cornu aspersum	Segrijnslak	0	7719	Helicidae (Tuinslakken e.a.)	molluscs	Native	9/09/2019	12:02	24/09/2019	51:12.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,78089	43,46482	43,4648208618164	-3,78088545799255	 onbekend	Spain - Santander	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075180	25	110	1	O	0		-	-	onbekend				0
+	180075181	Hygromia limbata		0	545769	Hygromiidae (Loofslakken e.a.)	molluscs	Native	9/09/2019	12:02	24/09/2019	51:12.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,78089	43,46482	43,4648208618164	-3,78088545799255	 onbekend	Spain - Santander	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075181	25	110	1	O	2		-	-	onbekend				0
+	184348632	Arion spec.	Wegslak onbekend	0	691771	Arionidae (Wegslakken)	molluscs	Native	9/09/2019	20:00	13/01/2020	22:35.7	losse waarneming	2	0	0	onbekend	exact aantal	adult	levend dier	-4,81282	43,14308	43,14308365	-4,8128192	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184348632	10	100	1	O	1		-	Niet van toepassing	onbekend	""""""			0
+	180075173	Aegopinella nitidula	Bruine blinkslak	0	9054	Oxychilidae (Glansslakken e.a.)	molluscs	Native	10/09/2019	16:22	24/09/2019	51:11.8	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80967	43,14432	43,1443214416504	-4,8096718788147	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075173	25	110	1	O	0		-	-	onbekend				0
+	180075174	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	10/09/2019	16:06	24/09/2019	51:11.8	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81223	43,14312	43,143123626709	-4,81223106384277	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075174	25	110	1	O	0		-	-	onbekend	"""Oestophorella buvinieri"""			0
+	180075175	Mengoana jeschaui		0	545796	Hygromiidae (Loofslakken e.a.)	molluscs	Native	10/09/2019	15:35	24/09/2019	51:11.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81284	43,14199	43,1419906616211	-4,81284046173096	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075175	25	110	1	O	0		-	-	onbekend				0
+	184348768	Deroceras spec.	Akkerslak onbekend	0	153915	Agriolimacidae (Akkerslakken)	molluscs	Native	10/09/2019	23:30	13/01/2020	28:43.6	losse waarneming	1	0	0	onbekend	exact aantal	adult	levend dier	-4,81799	43,14296	43,1429628	-4,81798822	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184348768	100	100	1	O	2		-	Niet van toepassing	gezien	""""""			0
