niveau	ID	Wetenschappelijke naam	Naam	Euring	Species id	Familie	Soortgroep	Soortstatus	Datum	Tijd	invoerdatum	timestamp	type waarneming	Aantal	min	max	Geslacht	telmethode	Kleed	Gedrag	X	Y	lat	Lng	Biotoop	Gebied	Gemeente	Provincie	Zeker	escape	link	precisie	loc_methode	protocol	status	Foto's	Collectienr.	Waardplant	substraat	Methode	Toelichting	Locatie	Tags	Transecten
+	184349234	Arion spec.	Wegslak onbekend	0	691771	Arionidae (Wegslakken)	molluscs	Native	10/09/2019	15:15	13/01/2020	31:41.9	losse waarneming	1	0	0	onbekend	exact aantal	adult	levend dier	-4,81799	43,14296	43,1429628	-4,81798822	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184349234	100	100	1	O	3	0	-	Niet van toepassing	gezien	""""""			0
+	180075153	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	11/09/2019	16:35	24/09/2019	51:08.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,82861	43,13554	43,1355438232422	-4,82861471176147	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075153	25	110	1	O	0		-	-	onbekend	"""Oestophorella buvinieri"""			0
+	180075154	Merdigera obscura	Donkere torenslak	0	19985	Enidae (Torenslakken)	molluscs	Native	11/09/2019	16:25	24/09/2019	51:08.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,82902	43,13476	43,1347618103027	-4,82902431488037	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075154	25	110	1	O	0		-	-	onbekend				0
+	180075155	Mengoana jeschaui		0	545796	Hygromiidae (Loofslakken e.a.)	molluscs	Native	11/09/2019	16:20	24/09/2019	51:08.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,82927	43,13467	43,1346740722656	-4,82926750183105	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075155	25	110	1	O	0		-	-	onbekend				0
+	180075156	Helicella valdeona		0	545749	Hygromiidae (Loofslakken e.a.)	molluscs	Native	11/09/2019	15:56	24/09/2019	51:08.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,82577	43,13360	43,1335983276367	-4,8257737159729	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075156	25	110	1	O	2		-	-	onbekend				0
+	180075157	Obscurella hidalgoi		0	822007	Cochlostomatidae	molluscs	Native	11/09/2019	15:48	24/09/2019	51:08.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,82471	43,13386	43,133861541748	-4,82471179962158	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/180075157	25	110	1	O	0		-	-	onbekend				0
+	180075159	Vallonia spec.	Jachthorenslak onbekend	0	235000	Valloniidae (Jachthorenslakken e.a.)	molluscs	Native	11/09/2019	14:25	24/09/2019	51:09.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81762	43,13351	43,1335105895996	-4,81762313842773	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075159	25	110	1	O	0		-	-	onbekend				0
+	180075160	Pupilla bigranata		0	722355	Pupillidae (Tonnetjes)	molluscs	Native	11/09/2019	14:25	24/09/2019	18:00.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81757	43,13350	43,13350296	-4,81756592	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075160	25	110	1	O	0		-	Niet van toepassing	onbekend	""""""			0
+	180075161	Clausilia bidentata	Vale clausilia	0	825079	Clausiliidae (Clausilia's)	molluscs	Native	11/09/2019	14:08	24/09/2019	54:48.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81724	43,13354	43,1335411071777	-4,81724452972412	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075161	25	110	1	O	0		-	-	onbekend				0
+	180075162	Obscurella hidalgoi		0	822007	Cochlostomatidae	molluscs	Native	11/09/2019	14:08	24/09/2019	51:09.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81725	43,13354	43,1335411071777	-4,81725120544434	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/180075162	25	110	1	O	0		-	-	onbekend				0
+	180075163	Helicella valdeona		0	545749	Hygromiidae (Loofslakken e.a.)	molluscs	Native	11/09/2019	14:01	24/09/2019	51:09.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81709	43,13351	43,1335144042969	-4,81709480285645	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075163	25	110	1	O	2		-	-	onbekend				0
+	180075164	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	11/09/2019	13:54	24/09/2019	51:09.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81658	43,13382	43,1338195800781	-4,81657648086548	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075164	25	110	1	O	0		-	-	onbekend	"""oestophorella buvinieri"""			0
+	180075165	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	11/09/2019	13:31	24/09/2019	51:10.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81579	43,13540	43,1353950500488	-4,81579351425171	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075165	25	110	1	O	3		-	-	onbekend	"""oestophorella buvinieri"""			0
+	180075166	Mengoana jeschaui		0	545796	Hygromiidae (Loofslakken e.a.)	molluscs	Native	11/09/2019	12:58	24/09/2019	51:10.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81594	43,13784	43,1378402709961	-4,8159384727478	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075166	25	110	1	O	0		-	-	onbekend				0
+	180075167	Obscurella hidalgoi		0	822007	Cochlostomatidae	molluscs	Native	11/09/2019	12:58	24/09/2019	51:10.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81595	43,13784	43,1378402709961	-4,81594705581665	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/180075167	25	110	1	O	2		-	-	onbekend				0
+	180075169	Clausilia bidentata	Vale clausilia	0	825079	Clausiliidae (Clausilia's)	molluscs	Native	11/09/2019	12:05	24/09/2019	32:39.4	ObsMapp	1	0	0	onbekend	exact aantal	adult	levend dier	-4,81176	43,14093	43,14093018	-4,81176281	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075169	25	110	1	O	1		-	Niet van toepassing	gezien	""""""			0
+	180075170	Potamopyrgus antipodarum	Jenkins' waterhorentje	0	23721	Hydrobiidae (Wadslakjes e.a.)	molluscs	Native	11/09/2019	0:50	24/09/2019	51:11.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80967	43,14380	43,1438026428223	-4,80966997146606	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075170	25	110	1	O	0		-	-	onbekend				0
+	180178114	Truncatellina callicratis	Zuidelijke korfslak	0	722353	Vertiginidae (Korfslakken)	molluscs	Native	11/09/2019	14:25	28/09/2019	33:09.3	copied observation	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81757	43,13350	43,13350296	-4,81756592	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180178114	25	110	1	O	0		-	Niet van toepassing	onbekend	"""var. without teeth"""			0
+	180178130	Vitrea contracta	Kleine kristalslak	0	20094	Pristilomatidae (Kristalslakken)	molluscs	Native	11/09/2019	14:25	28/09/2019	34:50.3	copied observation	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,81762	43,13351	43,13351059	-4,81762314	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180178130	25	110	1	O	0		-	Niet van toepassing	onbekend	""""""			0
+	184349569	Arion spec.	Wegslak onbekend	0	691771	Arionidae (Wegslakken)	molluscs	Native	11/09/2019	14:21	13/01/2020	34:39.4	Geotagged by foto	1	0	0	onbekend		onbekend	ter plaatse	-4,81656	43,13353	43,133533333333	-4,8165638888889	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184349569	100	110	1	O	1		-	-	onbekend			GPS Tagged|	0
+	180075127	Oligolimax annularis		0	826712	Vitrinidae (Glasslakken)	molluscs	Native	12/09/2019	15:56	24/09/2019	51:05.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,79746	43,16200	43,1620025634766	-4,79745531082153	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075127	25	110	1	O	0		-	-	onbekend				0
+	180075128	Chondrina spec.		0	704124	Chondrinidae (Korrelslakken)	molluscs	Native	12/09/2019	14:35	24/09/2019	51:05.7	ObsMapp	1	0	0	onbekend	onbekend	onbekend	levend dier	-4,80573	43,16064	43,1606407165527	-4,80572509765625	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075128	25	110	1	O	0		-	-	onbekend	"""Chondrina cliedentata"""			0
+	180075136	Obscurella hidalgoi		0	822007	Cochlostomatidae	molluscs	Native	12/09/2019	12:05	24/09/2019	51:06.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80856	43,15818	43,1581764221191	-4,80856370925903	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/180075136	25	110	1	O	0		-	-	onbekend				0
+	180075137	Obscurella hidalgoi		0	822007	Cochlostomatidae	molluscs	Native	12/09/2019	11:04	24/09/2019	51:06.4	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80578	43,15506	43,1550559997559	-4,80578327178955	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/180075137	25	110	1	O	1		-	-	onbekend				0
+	180075138	Vitrina pellucida	Doorschijnende glasslak	0	18971	Vitrinidae (Glasslakken)	molluscs	Native	12/09/2019	10:53	24/09/2019	37:33.6	ObsMapp	1	0	0	onbekend	exact aantal	adult	levend dier	-4,80550	43,15491	43,15491104	-4,80550194	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075138	25	110	1	O	1		-	Niet van toepassing	gezien	""""""			0
+	180075139	Hygromiidae spec.		0	709057	Hygromiidae (Loofslakken e.a.)	molluscs	Native	12/09/2019	10:53	24/09/2019	51:06.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80550	43,15491	43,1549110412598	-4,80550193786621	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075139	25	110	1	O	0		-	-	onbekend				0
+	180075140	Lauria cylindracea	Genaveld tonnetje	0	19961	Lauriidae	molluscs	Native	12/09/2019	10:48	24/09/2019	51:06.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80531	43,15464	43,1546440124512	-4,80531024932861	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075140	25	110	1	O	0		-	-	onbekend				0
+	180075142	Vitrea subrimata		0	826393	Pristilomatidae (Kristalslakken)	molluscs	Native	12/09/2019	10:46	24/09/2019	01:23.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80531	43,15466	43,1546630859375	-4,80530500411987	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075142	25	110	1	O	0		-	-	onbekend				0
+	180075143	Pupilla bigranata		0	722355	Pupillidae (Tonnetjes)	molluscs	Native	12/09/2019	10:45	24/09/2019	51:06.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80533	43,15465	43,1546478271484	-4,80532789230347	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075143	25	110	1	O	0		-	-	onbekend				0
+	180075144	Pyrenaearia schaufussi		0	545883	Hygromiidae (Loofslakken e.a.)	molluscs	Native	12/09/2019	10:36	24/09/2019	29:04.7	ObsMapp	1	0	0	onbekend	onbekend	onbekend	levend dier	-4,80576	43,15433	43,1543312072754	-4,80576372146606	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075144	25	110	1	O	3		-	-	onbekend				0
+	180075146	Abida vasconica		0	806377	Chondrinidae (Korrelslakken)	molluscs	Native	12/09/2019	10:22	24/09/2019	51:07.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80594	43,15395	43,1539459228516	-4,80593967437744	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075146	25	110	1	O	0		-	-	onbekend				0
+	180075147	Plentuisa vendia		0	545864	Hygromiidae (Loofslakken e.a.)	molluscs	Native	12/09/2019	10:22	24/09/2019	51:07.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80594	43,15395	43,1539459228516	-4,80593967437744	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075147	25	110	1	O	0		-	-	onbekend				0
+	184349654	Arion spec.	Wegslak onbekend	0	691771	Arionidae (Wegslakken)	molluscs	Native	12/09/2019	11:13	13/01/2020	39:17.2	Geotagged by foto	1	0	0	onbekend		onbekend	ter plaatse	-4,80591	43,15526	43,155258333333	-4,8059083333333	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184349654	100	110	1	O	3		-	-	onbekend			GPS Tagged|	0
+	184349677	Arion spec.	Wegslak onbekend	0	691771	Arionidae (Wegslakken)	molluscs	Native	12/09/2019	12:06	13/01/2020	40:38.5	Geotagged by foto	1	0	0	onbekend		onbekend	ter plaatse	-4,80862	43,15815	43,15815	-4,8086194444444	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/184349677	100	110	1	O	5		-	-	onbekend			GPS Tagged|	0
+	184350165	Helicella valdeona		0	545749	Hygromiidae (Loofslakken e.a.)	molluscs	Native	12/09/2019	16:10	13/01/2020	50:30.9	Geotagged by foto	1	0	0	onbekend	exact aantal	adult	levend dier	-4,79699	43,16204	43,16203889	-4,79698611	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	N	N	https://observation.org/waarneming/view/184350165	100	110	1	O	3		-	Niet van toepassing	gezien	""""""		GPS Tagged|	0
+	180075118	Xerotricha apicina	Behaarde grasslak	0	210252	Hygromiidae (Loofslakken e.a.)	molluscs	Native	13/09/2019	22:33	24/09/2019	51:05.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,43062	43,40724	43,4072418212891	-3,43062281608582	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075118	25	110	1	O	0		-	-	onbekend				0
+	180075121	Pomatias elegans	Geruite rondmondhoren	0	20036	Pomatiidae	molluscs	Native	13/09/2019	13:24	24/09/2019	51:05.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80701	43,12867	43,1286697387695	-4,8070125579834	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075121	25	110	1	O	0		-	-	onbekend				0
+	180075122	Merdigera obscura	Donkere torenslak	0	19985	Enidae (Torenslakken)	molluscs	Native	13/09/2019	13:24	24/09/2019	51:05.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80699	43,12870	43,1286964416504	-4,80698776245117	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075122	25	110	1	O	0		-	-	onbekend				0
+	180075123	Oestophora spec.		0	686167	Trissexodontidae	molluscs	Native	13/09/2019	13:21	24/09/2019	51:05.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-4,80668	43,12888	43,1288833618164	-4,80667543411255	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075123	25	110	1	O	0		-	-	onbekend	"""Oestophorella buvinieri"""			0
+	180075124	Xerosecta cespitum		0	545995	Hygromiidae (Loofslakken e.a.)	molluscs	Native	13/09/2019	13:20	24/09/2019	01:13.4	ObsMapp	50	0	0	onbekend	schatting	adult	dood	-4,80667	43,13079	43,13079348	-4,80667439	 onbekend	Spain - Camaleño	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075124	10	100	1	O	0		-	Niet van toepassing	gezien	""""""			0
+	180075087	Hydrobia spec.		0	691996	Hydrobiidae (Wadslakjes e.a.)	molluscs	Native	14/09/2019	15:31	24/09/2019	51:04.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45429	43,40834	43,4083366394043	-3,45429086685181	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075087	25	110	1	O	0		-	-	onbekend				0
+	180075090	Cepaea nemoralis	Zwartgerande tuinslak	0	7720	Helicidae (Tuinslakken e.a.)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:04.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075090	25	110	1	O	0		-	-	onbekend				0
+	180075091	Cernuella aginnica	Franse duinslak	0	19880	Hygromiidae (Loofslakken e.a.)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:04.8	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075091	25	110	1	O	0		-	-	onbekend				0
+	180075092	Cochlicella barbara	Bolle duinhoren	0	19884	Cochlicellidae (Duinhorens)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:04.8	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075092	25	110	1	O	0		-	-	onbekend				0
+	180075093	Cochlicella acuta	Slanke duinhoren	0	19883	Cochlicellidae (Duinhorens)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:04.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075093	25	110	1	O	0		-	-	onbekend				0
+	180075094	Lauria cylindracea	Genaveld tonnetje	0	19961	Lauriidae	molluscs	Native	14/09/2019	13:35	24/09/2019	51:04.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075094	25	110	1	O	0		-	-	onbekend				0
+	180075095	Pupilla muscorum	Mostonnetje	0	20040	Pupillidae (Tonnetjes)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:04.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075095	25	110	1	O	0		-	-	onbekend				0
+	180075096	Clausilia bidentata	Vale clausilia	0	825079	Clausiliidae (Clausilia's)	molluscs	Native	14/09/2019	13:35	24/09/2019	54:48.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075096	25	110	1	O	0		-	-	onbekend				0
+	180075097	Paralaoma servilis	Duintolletje	0	234797	Punctidae	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.0	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075097	25	110	1	O	0		-	-	onbekend				0
+	180075098	Vallonia costata	Geribde jachthorenslak	0	20083	Valloniidae (Jachthorenslakken e.a.)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075098	25	110	1	O	0		-	-	onbekend				0
+	180075099	Vallonia excentrica	Scheve jachthorenslak	0	20084	Valloniidae (Jachthorenslakken e.a.)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075099	25	110	1	O	0		-	-	onbekend				0
+	180075100	Vitrea spec.	Kristalslak-soort	0	235008	Pristilomatidae (Kristalslakken)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075100	25	110	1	O	0		-	-	onbekend				0
+	180075101	Cochlicopa lubricella	Slanke agaathoren	0	19885	Cochlicopidae (Agaathorens)	molluscs	Native	14/09/2019	13:35	24/09/2019	51:05.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	-3,45237	43,41361	43,4136085510254	-3,45236945152283	 onbekend	Spain - Laredo	Spain - Cantabria	Spain	Y	N	https://observation.org/waarneming/view/180075101	25	110	1	O	0		-	-	onbekend				0
