niveau	ID	Wetenschappelijke naam	Naam	Euring	Species id	Familie	Soortgroep	Soortstatus	Datum	Tijd	invoerdatum	timestamp	type waarneming	Aantal	min	max	Geslacht	telmethode	Kleed	Gedrag	X	Y	lat	Lng	Biotoop	Gebied	Gemeente	Provincie	Zeker	escape	link	precisie	loc_methode	protocol	status	Foto's	Collectienr.	Waardplant	substraat	Methode	Toelichting	Locatie	Tags	Transecten
+	185039337	Otala lactea	Getande melkslak	0	210249	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	16:50	02/02/2020	34:02.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72184"	"27,88154"	"27,8815364837646"	"-15,7218370437622"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039337	25	110	1	O	0		-	-	onbekend	"""1 adult"""			0
+	185039338	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	16:40	02/02/2020	01:30.7	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72190"	"27,88148"	"27,88147736"	"-15,72189999"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039338	25	110	1	O	0		-	Niet van toepassing	onbekend	"""aff. saponacea 1 adult, 2 juv"""			0
+	185039339	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	16:09	02/02/2020	34:02.3	ObsMapp	40	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72196"	"27,88132"	"27,8813209533691"	"-15,7219648361206"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039339	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra 12 adult"""			0
+	185039340	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	02/02/2020	16:02	02/02/2020	59:45.3	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72211"	"27,88145"	"27,88145065"	"-15,72210503"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039340	25	110	1	O	0		-	Niet van toepassing	onbekend	"""Napaeus josei 2 adult, 1 juv"""			0
+	185039341	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:55	02/02/2020	25:37.9	ObsMapp	5	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72218"	"27,88153"	"27,88153458"	"-15,72218418"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039341	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis adult"""			0
+	185039342	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	02/02/2020	15:53	02/02/2020	34:02.3	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72219"	"27,88153"	"27,8815288543701"	"-15,7221879959106"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039342	25	110	1	O	0		-	-	onbekend	"""1 juv, 1 adult"""			0
+	185039343	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	02/02/2020	15:43	02/02/2020	34:02.3	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72261"	"27,88164"	"27,8816375732422"	"-15,7226085662842"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039343	25	110	1	O	0		-	-	onbekend	"""2 adult"""			0
+	185039344	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:38	02/02/2020	34:02.4	ObsMapp	11	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72262"	"27,88169"	"27,8816928863525"	"-15,7226190567017"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039344	25	110	1	O	1		-	-	onbekend	"""psathyra psathyra 9 adult 2 juv"""			0
+	185039345	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	02/02/2020	15:31	02/02/2020	57:01.0	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72254"	"27,88191"	"27,88191032"	"-15,7225399"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039345	25	110	1	O	0		-	Niet van toepassing	onbekend	"""1 adult, 1 juv"""			0
+	185039347	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	02/02/2020	15:24	02/02/2020	54:34.2	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72253"	"27,88191"	"27,88191414"	"-15,7225256"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039347	25	110	1	O	0		-	Niet van toepassing	onbekend	"""napaeus venegueraensis adult"""			0
+	185039348	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:24	02/02/2020	26:19.3	ObsMapp	6	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72253"	"27,88191"	"27,88191414"	"-15,72252655"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039348	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis 5 adult 1 juv"""			0
+	185039349	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	02/02/2020	15:03	02/02/2020	53:47.6	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72262"	"27,88204"	"27,88204002"	"-15,72261715"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039349	25	110	1	O	0		-	Niet van toepassing	onbekend	juv			0
