id;date;x;y;domain_en;domain_fr;domain_nl;kind_en;kind_fr;kind_nl;action_en;action_fr;action_nl;action_amount;materials_en;materials_fr;materials_nl;municipality;nis_code;insee_code;gbif_code
908;15/12/2017;127427.26672587104;191638.99556117598;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Follow-up=8, Chemical control=8, Bins and tubes=1;Suivi=8, Produits chimiques=8, Tubes=1;Opvolging=8, Chemische bestrijding=8, Bakken en buizen=1;DENDERMONDE (BE);42006;;2439261
909;15/12/2017;128390.81647391219;191498.79454358947;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Chemical control=7, Bins and tubes=1, Follow-up=8;Produits chimiques=7, Tubes=1, Suivi=8;Chemische bestrijding=7, Bakken en buizen=1, Opvolging=8;DENDERMONDE (BE);42006;;2439261
910;15/12/2017;127779.65244806597;187514.14091846626;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Follow-up=8, Chemical control=8, Bins and tubes=1;Suivi=8, Produits chimiques=8, Tubes=1;Opvolging=8, Chemische bestrijding=8, Bakken en buizen=1;DENDERMONDE (BE);42006;;2439261
911;15/12/2017;127470.37004992909;187556.6158653861;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Chemical control=5, Follow-up=8, Bins and tubes=1;Produits chimiques=5, Suivi=8, Tubes=1;Chemische bestrijding=5, Opvolging=8, Bakken en buizen=1;DENDERMONDE (BE);42006;;2439261
1205;15/12/2017;136628.38083484763;215688.00633493904;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Volume;Quantité;Hoeveelheid;1;Bins and tubes=1, Chemical control=3, Follow-up=8;Tubes=1, Produits chimiques=3, Suivi=8;Bakken en buizen=1, Chemische bestrijding=3, Opvolging=8;BEVEREN (BE);46003;;2439261
928;15/12/2017;92891.89831790229;202303.89727614168;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;;;;;Chemical control=5, Bins and tubes=1, Follow-up=7;Produits chimiques=5, Tubes=1, Suivi=7;Chemische bestrijding=5, Bakken en buizen=1, Opvolging=7;ZOMERGEM (BE);44080;;2439261
955;15/12/2017;93216.83400320027;202816.10774588492;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;;;;;Bins and tubes=1, Chemical control=8, Follow-up=8;Tubes=1, Produits chimiques=8, Suivi=8;Bakken en buizen=1, Chemische bestrijding=8, Opvolging=8;ZOMERGEM (BE);44080;;2439261
913;15/12/2017;126735.5872687312;187902.26601305138;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Chemical control=8, Follow-up=8, Bins and tubes=1;Produits chimiques=8, Suivi=8, Tubes=1;Chemische bestrijding=8, Opvolging=8, Bakken en buizen=1;DENDERMONDE (BE);42006;;2439261
958;15/12/2017;105241.898510444;207801.29475139268;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Chemical control=7, Bins and tubes=1, Follow-up=8;Produits chimiques=7, Tubes=1, Suivi=8;Chemische bestrijding=7, Bakken en buizen=1, Opvolging=8;ASSENEDE (BE);43002;;2439261
914;15/12/2017;125319.74937215015;188013.86003012583;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Chemical control=8, Bins and tubes=1, Follow-up=8;Produits chimiques=8, Tubes=1, Suivi=8;Chemische bestrijding=8, Bakken en buizen=1, Opvolging=8;DENDERMONDE (BE);42006;;2439261
952;15/12/2017;92555.33246343152;203236.39350997377;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;;;;;Chemical control=3, Bins and tubes=1, Follow-up=8;Produits chimiques=3, Tubes=1, Suivi=8;Chemische bestrijding=3, Bakken en buizen=1, Opvolging=8;ZOMERGEM (BE);44080;;2439261
916;15/12/2017;124755.90645214125;187750.90808652714;Animal;Animal;Dier;Brown rat;Rat gris;Bruine rat;Identified;Observé;Vastgesteld;0;Bins and tubes=1, Follow-up=8, Chemical control=8;Tubes=1, Suivi=8, Produits chimiques=8;Bakken en buizen=1, Opvolging=8, Chemische bestrijding=8;DENDERMONDE (BE);42006;;2439261
