id;date;x;y;domain_en;domain_fr;domain_nl;kind_en;kind_fr;kind_nl;action_en;action_fr;action_nl;action_amount;materials_en;materials_fr;materials_nl;municipality;nis_code;insee_code;gbif_code
3944;20/02/2018;82434.6509346297;217328.73298767302;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=13, Fish traps=4;Suivi=13, Nasses à écreuvisse / à poisson=4;Opvolging=13, Fuiken=4;MALDEGEM (BE);43010;;5219858
4602;16/03/2018;81832.13245058074;217880.19724832196;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Fish traps=2, Follow-up=13;Nasses à écreuvisse / à poisson=2, Suivi=13;Fuiken=2, Opvolging=13;MALDEGEM (BE);43010;;5219858
6310;7/05/2018;93526.42864316629;168401.15400008578;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=3, Bait trap=4;Suivi=3, Appât=4;Opvolging=3, Lokaasklem=4;WORTEGEM-PETEGEM (BE);45061;;5219858
6461;14/05/2018;90890.71154125604;167784.81279626023;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=3, Fish traps=1;Suivi=3, Nasses à écreuvisse / à poisson=1;Opvolging=3, Fuiken=1;WORTEGEM-PETEGEM (BE);45061;;5219858
6462;14/05/2018;90232.05724078555;167176.93748262618;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;No catch;Pas capturé;Geen vangst;0;Follow-up=3, Fish traps=1;Suivi=3, Nasses à écreuvisse / à poisson=1;Opvolging=3, Fuiken=1;WORTEGEM-PETEGEM (BE);45061;;5219858
6620;17/05/2018;93874.88582636105;168829.8334507635;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;2;Fish traps=6, Follow-up=5;Nasses à écreuvisse / à poisson=6, Suivi=5;Fuiken=6, Opvolging=5;WORTEGEM-PETEGEM (BE);45061;;5219858
10499;10/10/2018;128436.48819361096;177358.82414349914;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Traces;Traces;Sporen;1;Follow-up=2;Suivi=2;Opvolging=2;DENDERLEEUW (BE);41011;;5219858
10501;10/10/2018;128427.37877036988;177307.44489938207;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Traces;Traces;Sporen;1;Follow-up=2;Suivi=2;Opvolging=2;DENDERLEEUW (BE);41011;;5219858
10755;17/10/2018;122569.35458686121;167023.35609259084;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Follow-up=6, Bait trap=2;Suivi=6, Appât=2;Opvolging=6, Lokaasklem=2;NINOVE (BE);41048;;5219858
12271;21/01/2019;94050.36977916547;169020.9011913091;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;3;Fish traps=1, Follow-up=5;Nasses à écreuvisse / à poisson=1, Suivi=5;Fuiken=1, Opvolging=5;WORTEGEM-PETEGEM (BE);45061;;5219858
13254;11/03/2019;93580.53458022916;161465.5784581881;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;64;Other=1;Autre=1;Andere=1;RONSE (BE);45041;;5219858
14804;15/05/2019;109513.4093520442;174569.3233834589;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;No catch;Pas capturé;Geen vangst;0;Fish traps=2;Nasses à écreuvisse / à poisson=2;Fuiken=2;ZOTTEGEM (BE);41081;;5219858
17379;24/09/2019;92796.96780407001;167646.47737903707;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Fish traps=2, Follow-up=1;Nasses à écreuvisse / à poisson=2, Suivi=1;Fuiken=2, Opvolging=1;OUDENAARDE (BE);45035;;5219858
17382;30/09/2019;127066.044993665;169659.7876207931;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Follow-up=10, Bait trap=2;Suivi=10, Appât=2;Opvolging=10, Lokaasklem=2;ROOSDAAL (BE);23097;;5219858
17381;30/09/2019;126991.70533364806;169667.11051875073;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Follow-up=10, Bait trap=4;Suivi=10, Appât=4;Opvolging=10, Lokaasklem=4;ROOSDAAL (BE);23097;;5219858
17360;7/10/2019;92002.64555682467;168087.39670045208;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Fish traps=4, Follow-up=3;Nasses à écreuvisse / à poisson=4, Suivi=3;Fuiken=4, Opvolging=3;WORTEGEM-PETEGEM (BE);45061;;5219858
17856;4/11/2019;93875.2645032224;168819.80607921444;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=1, Bait trap=2;Suivi=1, Appât=2;Opvolging=1, Lokaasklem=2;WORTEGEM-PETEGEM (BE);45061;;5219858
18118;26/11/2019;123590.7295501576;167853.91118932143;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;1;Bait trap=1, Follow-up=2;Appât=1, Suivi=2;Lokaasklem=1, Opvolging=2;NINOVE (BE);41048;;5219858
18755;9/01/2020;82239.99361598297;216456.57872402668;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Follow-up=4;Suivi=4;Opvolging=4;MALDEGEM (BE);43010;;5219858
18752;9/01/2020;81723.78570241331;217825.11044824496;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Follow-up=4;Suivi=4;Opvolging=4;MALDEGEM (BE);43010;;5219858
18775;13/01/2020;84164.394239398;215558.90228707623;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;2;Follow-up=2;Suivi=2;Opvolging=2;MALDEGEM (BE);43010;;5219858
18916;21/01/2020;102913.21844391804;217633.1950374609;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Fish traps=1, Follow-up=6;Nasses à écreuvisse / à poisson=1, Suivi=6;Fuiken=1, Opvolging=6;ASSENEDE (BE);43002;;5219858
19291;23/01/2020;86269.91304353181;162364.1082883291;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;15;Conibear trap=4, Fish traps=2, Follow-up=9;Conibear=4, Nasses à écreuvisse / à poisson=2, Suivi=9;Conibearklem=4, Fuiken=2, Opvolging=9;KLUISBERGEN (BE);45060;;5219858
18944;23/01/2020;84117.29436298605;216362.96634886786;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;2;Follow-up=4;Suivi=4;Opvolging=4;;;;5219858
19015;27/01/2020;83988.40537595109;215540.56561588217;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Fish traps=5, Follow-up=14;Nasses à écreuvisse / à poisson=5, Suivi=14;Fuiken=5, Opvolging=14;MALDEGEM (BE);43010;;5219858
19105;29/01/2020;112373.93739392259;165234.23045294173;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Traces;Traces;Sporen;1;Follow-up=2;Suivi=2;Opvolging=2;LIERDE (BE);45063;;5219858
19207;3/02/2020;82539.79754155676;216606.7182698939;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Follow-up=7;Suivi=7;Opvolging=7;MALDEGEM (BE);43010;;5219858
19174;3/02/2020;84127.32863791357;216108.44257768337;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Follow-up=5;Suivi=5;Opvolging=5;MALDEGEM (BE);43010;;5219858
19208;4/02/2020;84106.92150255128;216395.60975696146;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;5;Follow-up=5;Suivi=5;Opvolging=5;;;;5219858
19268;6/02/2020;82171.74582269185;217574.13492900133;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;6;Follow-up=12;Suivi=12;Opvolging=12;;;;5219858
19249;7/02/2020;92794.02676113744;167632.72607088648;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=1, Fish traps=3;Suivi=1, Nasses à écreuvisse / à poisson=3;Opvolging=1, Fuiken=3;OUDENAARDE (BE);45035;;5219858
19313;10/02/2020;81697.99577604106;217553.92697515618;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Follow-up=11;Suivi=11;Opvolging=11;MALDEGEM (BE);43010;;5219858
19690;9/03/2020;94458.6383058977;169839.8231562795;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Fish traps=2, Follow-up=2;Nasses à écreuvisse / à poisson=2, Suivi=2;Fuiken=2, Opvolging=2;OUDENAARDE (BE);45035;;5219858
19689;9/03/2020;94440.89855549976;169850.29060395993;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;2;Follow-up=1;Suivi=1;Opvolging=1;OUDENAARDE (BE);45035;;5219858
19715;10/03/2020;81911.7358909162;216348.1649693083;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=4;Suivi=4;Opvolging=4;DAMME (BE);31006;;5219858
19950;2/04/2020;83013.58020101774;216554.50315526873;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=2, Fish traps=1;Suivi=2, Nasses à écreuvisse / à poisson=1;Opvolging=2, Fuiken=1;MALDEGEM (BE);43010;;5219858
19951;2/04/2020;83037.15759924662;216448.97502416186;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Fish traps=3, Follow-up=2;Nasses à écreuvisse / à poisson=3, Suivi=2;Fuiken=3, Opvolging=2;MALDEGEM (BE);43010;;5219858
19988;7/04/2020;100231.72853591375;213618.77466915734;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Follow-up=5, Conibear trap=3;Suivi=5, Conibear=3;Opvolging=5, Conibearklem=3;KAPRIJKE (BE);43007;;5219858
20585;11/05/2020;84167.62524444409;215561.4760097498;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=2, Fish traps=1;Suivi=2, Nasses à écreuvisse / à poisson=1;Opvolging=2, Fuiken=1;MALDEGEM (BE);43010;;5219858
20586;11/05/2020;84225.47200671938;215589.3484866768;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=4, Fish traps=3;Suivi=4, Nasses à écreuvisse / à poisson=3;Opvolging=4, Fuiken=3;MALDEGEM (BE);43010;;5219858
20587;11/05/2020;83619.72794569063;216864.9408950908;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Fish traps=2, Follow-up=3;Nasses à écreuvisse / à poisson=2, Suivi=3;Fuiken=2, Opvolging=3;MALDEGEM (BE);43010;;5219858
20768;18/05/2020;94506.98788041782;167955.5304609323;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=2;Conibear=2;Conibearklem=2;OUDENAARDE (BE);45035;;5219858
20922;20/05/2020;94455.56443390434;167914.2471057549;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=6;Conibear=6;Conibearklem=6;OUDENAARDE (BE);45035;;5219858
20921;20/05/2020;94455.45668076075;167915.3829594273;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=2;Conibear=2;Conibearklem=2;OUDENAARDE (BE);45035;;5219858
20920;20/05/2020;94437.37578915159;167922.21617035847;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Conibear trap=3;Conibear=3;Conibearklem=3;OUDENAARDE (BE);45035;;5219858
20944;20/05/2020;94614.20200080224;168000.17316895816;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Conibear trap=1;Conibear=1;Conibearklem=1;OUDENAARDE (BE);45035;;5219858
20946;20/05/2020;94606.34103112473;167995.83984734584;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=2;Conibear=2;Conibearklem=2;OUDENAARDE (BE);45035;;5219858
20945;20/05/2020;94532.61184315919;167963.5913166413;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;;;;;Conibear trap=1;Conibear=1;Conibearklem=1;OUDENAARDE (BE);45035;;5219858
21015;26/05/2020;109401.40828989932;161697.54455744196;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;11;Fish traps=3, Follow-up=3;Nasses à écreuvisse / à poisson=3, Suivi=3;Fuiken=3, Opvolging=3;BRAKEL (BE);45059;;5219858
21053;27/05/2020;114012.24314511154;164747.6347449189;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;6;Follow-up=6, Conibear trap=4;Suivi=6, Conibear=4;Opvolging=6, Conibearklem=4;LIERDE (BE);45063;;5219858
21172;8/06/2020;113962.82684138729;164705.0905336663;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;5;Follow-up=3, Fish traps=3;Suivi=3, Nasses à écreuvisse / à poisson=3;Opvolging=3, Fuiken=3;LIERDE (BE);45063;;5219858
21173;8/06/2020;114031.84289141191;164755.5875034826;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;1;Follow-up=3, Fish traps=2;Suivi=3, Nasses à écreuvisse / à poisson=2;Opvolging=3, Fuiken=2;LIERDE (BE);45063;;5219858
21231;15/06/2020;84026.0680672733;216566.89536102582;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Bait trap=2, Follow-up=5, Fish traps=2;Appât=2, Suivi=5, Nasses à écreuvisse / à poisson=2;Lokaasklem=2, Opvolging=5, Fuiken=2;;;;5219858
21233;15/06/2020;92513.58160351608;157833.44588590506;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Follow-up=1;Suivi=1;Opvolging=1;;;;5219858
21234;15/06/2020;92487.84436285104;157848.1896735523;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;1;Follow-up=1;Suivi=1;Opvolging=1;;;;5219858
21377;23/06/2020;92425.6448423532;157894.3818029426;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=1, Fish traps=3;Conibear=1, Nasses à écreuvisse / à poisson=3;Conibearklem=1, Fuiken=3;;;;5219858
21376;23/06/2020;92500.40095694843;157838.76316942647;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=1;Conibear=1;Conibearklem=1;;;;5219858
21375;23/06/2020;92495.85963250403;157832.8502642531;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Identified;Observé;Vastgesteld;0;Conibear trap=1;Conibear=1;Conibearklem=1;;;;5219858
21772;16/07/2020;111107.66241709629;161666.62630589213;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;5;Fish traps=2, Conibear trap=4;Nasses à écreuvisse / à poisson=2, Conibear=4;Fuiken=2, Conibearklem=4;GERAARDSBERGEN (BE);41018;;5219858
21771;16/07/2020;111128.66463630425;161681.7329228986;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Conibear trap=1;Conibear=1;Conibearklem=1;GERAARDSBERGEN (BE);41018;;5219858
21770;16/07/2020;110938.75906240883;161668.07062712405;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;2;Fish traps=1;Nasses à écreuvisse / à poisson=1;Fuiken=1;BRAKEL (BE);45059;;5219858
21769;16/07/2020;110904.55094525818;161586.97468364425;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;3;Fish traps=3, Conibear trap=1;Nasses à écreuvisse / à poisson=3, Conibear=1;Fuiken=3, Conibearklem=1;BRAKEL (BE);45059;;5219858
21812;29/07/2020;107427.94616125307;170510.55558271054;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;9;Follow-up=3, Conibear trap=3;Suivi=3, Conibear=3;Opvolging=3, Conibearklem=3;BRAKEL (BE);45059;;5219858
21827;31/07/2020;110896.28472315354;161616.64876269456;Animal;Animal;Dier;Muskrat;Rat musqué;Muskusrat;Catch;Capturé;Gevangen;1;Conibear trap=1;Conibear=1;Conibearklem=1;BRAKEL (BE);45059;;5219858
